"","X","CustID","JoinDate","DOB","Gender","Visits","Paintings","Jewelry","Mosaics","Sculpture","Coupon","Revenue","Joindate_cat","Age","Age_cat","Visits_freq","Visits_freq_cat"
"21",21,867530921,2014-08-27,1985-12-02,"Female",24,193.59178370247,204.590004008416,170.32766453892,337.180176405564,"yes",905.68962865537,"old",30,"younger",1.46639511201629,"low"
"22",22,867530922,2014-10-17,1982-05-14,"Female",51,330.726401539286,191.750296021304,285.888749244296,204.825896880463,"no",1013.19134368535,"old",33,"middle-aged",3.47727272727273,"low"
"23",23,867530923,2014-08-25,1979-08-15,"Female",41,249.432407254429,142.499044854174,355.508807201534,256.792925084968,"no",1004.2331843951,"old",36,"middle-aged",2.49492900608519,"low"
"24",24,867530924,2015-02-01,1976-04-17,"Female",90,25.2988127721713,328.385130468782,208.822857570293,12.0516856311872,"yes",574.558486442433,"new",39,"middle-aged",8.10810810810811,"high"
"25",25,867530925,2015-01-02,1980-02-13,"Female",109,72.4736011867624,299.865640511222,185.774032876979,39.7118448200765,"no",597.82511939504,"new",35,"middle-aged",9.00826446280992,"high"
"26",26,867530926,2014-08-29,1981-04-11,"Female",29,254.630757771125,276.801106023856,218.890947799261,157.18504241687,"no",907.507854011112,"old",34,"middle-aged",1.77914110429448,"low"
"27",27,867530927,2014-09-16,1990-10-19,"Female",11,381.924720148536,266.208061795833,214.611107256053,143.213233610799,"no",1005.95712281122,"old",25,"younger",0.700636942675159,"low"
"28",28,867530928,2014-08-23,1986-05-20,"Female",49,142.130460867348,236.163474767349,262.154052023009,211.695454948504,"yes",852.14344260621,"old",29,"younger",2.96969696969697,"low"
"29",29,867530929,2015-01-13,1981-02-03,"Female",84,5.10824478764735,284.855989333048,259.86411958725,19.8985300775946,"no",569.72688378554,"new",34,"middle-aged",7.15909090909091,"medium"
"30",30,867530930,2014-12-31,1975-11-06,"Female",97,21.4185440873763,220.046220136703,325.348184853767,36.819605961897,"no",603.632555039743,"new",40,"middle-aged",7.97260273972603,"medium"
"31",31,867530931,2015-02-15,1972-04-30,"Female",74,13.6084740497921,335.737578212588,212.130873972108,11.6476765459764,"no",573.124602780465,"new",43,"elder",6.95924764890282,"medium"
"32",32,867530932,2014-09-03,1982-04-20,"Female",32,287.407592472257,209.048507959779,262.704564531141,221.35090565942,"no",980.511570622597,"old",33,"middle-aged",1.98347107438017,"low"
"33",33,867530933,2014-09-06,1981-09-01,"Female",50,193.809568446877,235.593084654933,161.295913050129,252.111653489367,"yes",842.810219641306,"old",34,"middle-aged",3.11850311850312,"low"
"34",34,867530934,2014-09-02,1986-09-21,"Female",17,223.756766322092,506.16375876682,148.280316829316,219.349972208963,"no",1097.55081412719,"old",29,"younger",1.05154639175258,"low"
"35",35,867530935,2014-08-01,1987-10-23,"Male",56,184.175859289153,198.551446679116,245.926776371166,339.478652299127,"no",968.132734638562,"old",28,"younger",3.2495164410058,"low"
"36",36,867530936,2014-09-29,1994-11-29,"Male",59,291.001583594568,524.941650574589,33.6892472439819,8.55003294053598,"no",858.182514353675,"old",21,"younger",3.8646288209607,"low"
"37",37,867530937,2015-06-07,1978-07-20,"Female",19,89.1970375052118,7.43635914647026,488.640636655659,216.002460482888,"no",801.276493790229,"new",37,"middle-aged",2.7536231884058,"low"
"38",38,867530938,2014-09-08,1992-07-23,"Male",58,426.354183749874,252.237680976063,3.96229848805837,104.939783709333,"no",787.493946923328,"old",23,"younger",3.63256784968685,"low"
"39",39,867530939,2015-01-09,1978-05-12,"Female",58,1.64397337322644,288.00774760755,314.039821162591,4.27543943754442,"no",607.966981580912,"new",37,"middle-aged",4.8876404494382,"medium"
"40",40,867530940,2014-07-06,1981-08-27,"Female",53,278.929816866459,263.403070332034,246.738892453399,278.708022308425,"no",1067.77980196032,"old",34,"middle-aged",2.92817679558011,"low"
"41",41,867530941,2014-08-24,1983-02-14,"Male",21,230.769380574492,249.402475975631,227.354921979299,307.04676744548,"no",1014.5735459749,"old",32,"middle-aged",1.2753036437247,"low"
"42",42,867530942,2014-09-07,1985-08-18,"Female",43,261.03669965652,175.283915767127,250.971190691701,257.072665027537,"no",944.364471142885,"old",30,"younger",2.6875,"low"
"43",43,867530943,2014-08-22,1982-05-15,"Male",0,131.051366661433,242.380318360174,152.960187707491,352.549670523684,"yes",878.941543252782,"old",33,"middle-aged",0,"low"
"44",44,867530944,2015-03-03,1977-03-03,"Male",97,5.32706540654847,316.534007517338,229.72004560103,8.27041515350739,"no",559.851533678424,"new",38,"middle-aged",9.6039603960396,"high"
"45",45,867530945,2015-01-21,1975-03-15,"Female",104,12.9150174149232,292.595004615179,253.555748287022,7.31805231921445,"no",566.383822636339,"new",40,"middle-aged",9.06976744186047,"high"
"46",46,867530946,2015-01-27,1978-10-22,"Female",93,21.6551181675809,359.283943824902,205.246889971909,7.21873517197845,"no",593.40468713637,"new",37,"middle-aged",8.25443786982249,"high"
"47",47,867530947,2015-02-24,1976-03-22,"Female",83,60.7943090214009,329.958505330049,246.968592082778,0.379720929977832,"no",638.101127364206,"new",39,"middle-aged",8.03225806451613,"high"
"48",48,867530948,2014-12-24,1971-12-14,"Female",86,74.8354626705952,180.288193477245,311.61050390095,26.0700176036217,"no",592.804177652412,"new",44,"elder",6.93548387096774,"medium"
"49",49,867530949,2014-07-04,1983-02-08,"Female",30,148.464680722684,212.374293321906,448.542728250961,161.461554061286,"no",970.843256356837,"old",32,"middle-aged",1.65137614678899,"low"
"50",50,867530950,2014-09-28,1985-01-02,"Female",40,259.612990586186,367.781057879846,174.471424654768,187.68282675263,"no",989.54829987343,"old",30,"younger",2.61437908496732,"low"
"51",51,867530951,2015-04-25,1982-07-11,"Male",20,32.2302498443338,45.167240856096,350.187176336636,408.421457039831,"no",836.006124076897,"new",33,"middle-aged",2.4,"low"
"52",52,867530952,2014-09-04,1983-06-19,"Male",6,278.39062128272,324.490159369468,288.910824119932,97.9863043781589,"no",989.777909150279,"old",32,"middle-aged",0.372670807453416,"low"
"53",53,867530953,2014-06-27,1989-06-04,"Male",34,233.480015514267,524.878304287521,97.9918118872663,186.790327657464,"no",1043.14045934652,"old",26,"younger",1.84782608695652,"low"
"54",54,867530954,2014-09-09,1985-06-30,"Male",15,523.191254593104,151.878379414507,152.921454484417,229.797987108477,"no",1057.7890756005,"old",30,"younger",0.941422594142259,"low"
"55",55,867530955,2014-12-22,1992-10-13,"Male",58,8.89546150636438,13.7716983936355,522.738324041787,390.374785640295,"yes",935.780269582082,"new",23,"younger",4.6524064171123,"medium"
"56",56,867530956,2015-01-19,1978-08-14,"Female",96,4.08761236054866,260.82257052584,325.970202099884,44.4367022047466,"no",635.317087191019,"new",37,"middle-aged",8.32369942196532,"high"
"57",57,867530957,2014-09-15,1986-11-16,"Female",33,289.504996184058,241.686092175691,200.182125647241,192.434092398793,"no",923.807306405783,"old",29,"younger",2.09745762711864,"low"
"58",58,867530958,2014-07-26,1993-07-11,"Male",35,298.979117664535,290.411715332093,235.525229999482,233.235067369054,"no",1058.15113036516,"old",22,"younger",2.00764818355641,"low"
"59",59,867530959,2014-09-02,1985-03-30,"Female",44,204.30713855281,321.67631677037,249.107734082108,297.769918804822,"no",1072.86110821011,"old",30,"younger",2.72164948453608,"low"
"60",60,867530960,2014-12-18,1976-02-09,"Female",78,18.0048323028992,345.220974188478,244.916204052327,27.3330706143081,"no",635.475081158012,"new",39,"middle-aged",6.19047619047619,"medium"
"61",61,867530961,2015-03-01,1974-03-11,"Female",82,19.4663934563558,484.774342767637,145.760875681245,15.7496355583223,"no",665.75124746356,"new",41,"elder",8.0655737704918,"high"
"62",62,867530962,2015-01-28,1980-09-11,"Female",20,6.51700264396545,23.1081740948167,320.969253252014,426.42369625809,"no",777.018126248886,"new",35,"middle-aged",1.78041543026706,"low"
"63",63,867530963,2014-07-04,1984-04-28,"Female",39,163.491219509854,274.256635280955,350.355634538847,236.001008592937,"no",1024.10449792259,"old",31,"middle-aged",2.14678899082569,"low"
"64",64,867530964,2014-12-13,1976-04-16,"Female",93,33.7163323414689,312.881813044328,222.979554699357,14.0236958040486,"no",583.601395889202,"new",39,"middle-aged",7.2845953002611,"medium"
"65",65,867530965,2015-01-02,1977-11-30,"Female",87,5.78738356165898,321.089370326304,183.122863611533,39.4979446182213,"yes",549.497562117717,"new",38,"middle-aged",7.1900826446281,"medium"
"66",66,867530966,2015-02-19,1973-05-30,"Female",88,9.60556623889252,221.309327413697,194.585655423227,103.793090374837,"yes",529.293639450653,"new",42,"elder",8.38095238095238,"high"
"67",67,867530967,2014-09-17,1991-08-06,"Female",39,232.498588063116,246.285872301972,207.64834856059,266.40888889653,"yes",952.841697822208,"old",24,"younger",2.48936170212766,"low"
"68",68,867530968,2014-12-05,1986-04-09,"Male",58,382.181499599291,305.205023592693,19.5147816210939,124.198805225315,"no",831.100110038393,"new",29,"younger",4.45012787723785,"medium"
"69",69,867530969,2014-09-13,1983-07-28,"Female",43,337.423644013002,288.804721703546,314.499299403761,163.83343182394,"no",1104.56109694425,"old",32,"middle-aged",2.72151898734177,"low"
"70",70,867530970,2014-09-08,1990-03-05,"Male",59,24.4312553655587,72.0197635041029,525.380504280252,255.585438101396,"yes",877.41696125131,"old",25,"younger",3.69519832985386,"low"
"71",71,867530971,2014-08-25,1989-03-29,"Female",12,149.946531601795,323.325375913945,317.50772731452,213.203112747688,"no",1003.98274757795,"old",26,"younger",0.730223123732252,"low"
"72",72,867530972,2014-09-09,1987-01-22,"Female",43,240.394338828071,269.886762669787,133.728946277446,229.758117280521,"yes",873.768165055825,"old",28,"younger",2.69874476987448,"low"
"73",73,867530973,2015-01-09,1974-08-06,"Male",73,12.3174949892241,202.025280366805,361.627883908029,12.2748337279244,"no",588.245492991982,"new",41,"elder",6.15168539325843,"medium"
"74",74,867530974,2014-12-22,1972-08-20,"Female",66,7.82829027957539,287.157819860538,202.901990190692,29.9363601735578,"yes",527.824460504363,"new",43,"elder",5.29411764705882,"medium"
"75",75,867530975,2014-11-22,1997-08-24,"Male",58,350.343447847409,399.219601215036,6.91766446096892,44.0038942628943,"no",800.484607786308,"new",18,"younger",4.30693069306931,"medium"
"76",76,867530976,2014-12-22,1979-07-22,"Female",53,10.0548101617747,250.943229031666,293.523077386617,5.59181765240705,"yes",560.112934232465,"new",36,"middle-aged",4.25133689839572,"medium"
"77",77,867530977,2015-06-26,1979-09-01,"Male",21,24.5890867965784,24.9885574235799,334.778796857979,452.7088592176,"no",837.065300295737,"new",36,"middle-aged",3.35106382978723,"low"
"78",78,867530978,2014-08-29,1984-04-12,"Male",31,258.636481880044,300.543584694953,191.769830343254,252.94253816711,"no",1003.89243508536,"old",31,"middle-aged",1.90184049079755,"low"
"79",79,867530979,2015-02-04,1974-02-23,"Male",56,62.3310069356135,242.158795008915,261.656164104159,14.8975630513948,"yes",581.043529100082,"new",41,"elder",5.09090909090909,"medium"
"80",80,867530980,2015-01-12,1976-06-19,"Female",60,17.8289302077137,214.375791759518,380.441560236352,38.2671519866739,"no",650.913434190258,"new",39,"middle-aged",5.09915014164306,"medium"
"81",81,867530981,2014-08-05,1984-09-12,"Female",27,211.989457573387,383.553716250975,272.241127055528,167.187986884219,"no",1034.97228776411,"old",31,"middle-aged",1.57894736842105,"low"
"82",82,867530982,2015-01-18,1982-05-26,"Female",47,11.4535635621595,156.573019313033,404.251115236412,15.0764141278421,"no",587.354112239447,"new",33,"middle-aged",4.06340057636888,"medium"
"83",83,867530983,2014-12-22,1993-07-04,"Female",61,345.332295059213,403.48662943701,0.444981742361873,19.7147922819536,"no",768.978698520538,"new",22,"younger",4.89304812834225,"medium"
"84",84,867530984,2014-07-21,1987-09-22,"Female",36,258.800293642161,350.160586416016,236.990351567458,109.12199353061,"no",955.073225156245,"old",28,"younger",2.04545454545455,"low"
"85",85,867530985,2015-01-07,1980-09-09,"Female",65,25.8780295901123,295.438905187772,270.675520963958,10.6845384888044,"no",602.676994230647,"new",35,"middle-aged",5.44692737430168,"medium"
"86",86,867530986,2014-10-17,1982-08-05,"Female",19,220.161493634928,250.755517895655,294.068334788506,256.520630986862,"no",1021.50597730595,"old",33,"middle-aged",1.29545454545455,"low"
"87",87,867530987,2015-01-08,1979-06-15,"Male",60,18.6649910265143,296.959654914467,238.706952343907,18.3390658710968,"no",572.670664155985,"new",36,"middle-aged",5.04201680672269,"medium"
"88",88,867530988,2015-02-11,1971-03-27,"Female",76,29.275007504918,189.183046417494,283.896362524718,86.7707879704314,"no",589.125204417561,"new",44,"elder",7.05882352941176,"medium"
"89",89,867530989,2014-08-12,1985-07-16,"Female",52,307.05334785654,263.302095469264,263.688224975335,176.703765661661,"no",1010.7474339628,"old",30,"younger",3.08300395256917,"low"
"90",90,867530990,2014-09-14,1985-06-16,"Female",63,368.72937823443,212.033635162634,184.994850714113,214.278996222135,"no",980.036860333312,"old",30,"younger",3.99577167019027,"low"
"91",91,867530991,2014-08-17,1983-09-30,"Female",19,389.588332639394,173.596005710525,143.9412093113,251.387055257621,"yes",958.51260291884,"old",32,"middle-aged",1.1377245508982,"low"
"92",92,867530992,2015-05-22,1979-02-25,"Female",20,2.37601456098513,17.1739150506008,377.733754979692,371.738395379176,"no",769.022079970454,"new",36,"middle-aged",2.69058295964126,"low"
"93",93,867530993,2014-08-19,1986-04-17,"Female",43,412.713923476949,117.23598282375,292.377077542769,216.475680875553,"no",1038.80266471902,"old",29,"younger",2.58517034068136,"low"
"94",94,867530994,2015-01-22,1975-02-26,"Male",81,43.4956765421323,275.573999180558,273.043872674347,15.2308336575925,"no",607.34438205463,"new",40,"middle-aged",7.08454810495627,"medium"
"95",95,867530995,2014-09-14,1987-03-17,"Female",29,124.697873075829,272.115013962843,166.465382369941,385.214494496253,"yes",948.492763904866,"old",28,"younger",1.83932346723044,"low"
"96",96,867530996,2014-09-18,1991-10-02,"Male",29,270.635830935423,134.825363798882,235.771224780693,292.178507633233,"no",933.410927148231,"old",24,"younger",1.85501066098081,"low"
"97",97,867530997,2014-09-04,1985-03-07,"Female",26,315.059655806324,280.941397221919,284.553029425919,177.826126464836,"no",1058.380208919,"old",30,"younger",1.61490683229814,"low"
"98",98,867530998,2015-01-08,1978-05-16,"Male",88,11.4962042777791,164.132994447021,321.463403457755,17.1382062079588,"yes",514.230808390514,"new",37,"middle-aged",7.39495798319328,"medium"
"99",99,867530999,2014-07-31,1988-07-24,"Female",43,291.837367609899,174.127869591302,217.129024209748,277.062810066834,"no",960.157071477783,"old",27,"younger",2.49034749034749,"low"
"100",100,8675309100,2015-01-29,1972-07-09,"Female",101,80.4697743615037,139.547469174093,336.612797436668,4.40287771441353,"no",561.032918686678,"new",43,"elder",9.01785714285714,"high"
"101",101,8675309101,2015-02-22,1973-06-20,"Female",65,20.951168452888,380.903446512448,195.166185308123,24.6443541447755,"no",621.665154418235,"new",42,"elder",6.25,"medium"
"102",102,8675309102,2014-08-24,1986-05-27,"Female",58,253.852428491498,178.854543539668,306.769593931158,247.150740158023,"no",986.627306120347,"old",29,"younger",3.52226720647773,"low"
"103",103,8675309103,2014-09-27,1984-12-03,"Female",45,264.818927270593,291.4549225604,299.142553487306,124.680096064444,"no",980.096499382743,"old",31,"middle-aged",2.93478260869565,"low"
"104",104,8675309104,2014-09-28,1985-07-18,"Female",37,271.842073357134,158.64496206824,274.967015153864,310.4995583868,"no",1015.95360896604,"old",30,"younger",2.41830065359477,"low"
"105",105,8675309105,2014-09-10,1984-04-20,"Female",56,383.050370417355,138.894315304331,172.979274846122,290.529323167537,"no",985.453283735345,"old",31,"middle-aged",3.52201257861635,"low"
"106",106,8675309106,2015-01-04,1993-11-22,"Male",61,382.589192860447,352.25272123207,8.26217951665389,8.80022300920971,"no",751.904316618381,"new",22,"younger",5.06925207756233,"medium"
"107",107,8675309107,2014-08-31,1988-06-08,"Female",55,181.228871018151,175.116431355223,161.285990762134,416.315785767192,"yes",933.9470789027,"old",27,"younger",3.38809034907598,"low"
"108",108,8675309108,2015-02-03,1979-10-15,"Female",97,9.78579102437652,154.467580856286,428.75277027216,32.6861324678919,"no",625.692274620714,"new",36,"middle-aged",8.79154078549849,"high"
"109",109,8675309109,2014-08-02,1989-11-21,"Female",43,163.450524054568,375.956187542515,287.389088922711,212.691820152638,"no",1039.48762067243,"old",26,"younger",2.5,"low"
"110",110,8675309110,2014-08-22,1986-01-11,"Female",57,169.844480249605,255.505215366169,153.75611961318,388.285241211824,"no",967.391056440778,"old",29,"younger",3.44758064516129,"low"
"111",111,8675309111,2015-01-24,1972-06-28,"Male",83,63.0272849774821,267.865893448398,258.987862614766,24.2846801538455,"no",614.165721194492,"new",43,"elder",7.30205278592375,"medium"
"112",112,8675309112,2014-12-19,1971-01-01,"Male",78,114.979920866837,188.682356162409,285.031120326096,52.5385402353986,"no",641.231937590741,"new",44,"elder",6.20689655172414,"medium"
"113",113,8675309113,2015-02-25,1976-06-14,"Female",70,6.00525512448285,274.567596817459,257.197306557107,7.52476399242855,"yes",545.294922491477,"new",39,"middle-aged",6.79611650485437,"medium"
"114",114,8675309114,2015-02-11,1975-01-10,"Male",86,5.50208384960264,210.102300453342,339.529771250371,16.9927515755485,"no",572.126907128864,"new",40,"middle-aged",7.98761609907121,"medium"
"115",115,8675309115,2015-01-14,1974-10-24,"Female",62,22.3252137729979,208.726625620539,289.989774098511,8.01642095846104,"yes",529.058034450509,"new",41,"elder",5.2991452991453,"medium"
"116",116,8675309116,2014-08-25,1987-01-11,"Female",30,216.448451534835,188.053569096906,287.720872646339,341.313757076994,"no",1033.53665035507,"old",28,"younger",1.82555780933063,"low"
"117",117,8675309117,2014-12-27,1975-02-28,"Female",80,5.04219810645026,240.194067349726,250.918439162757,25.7294926958254,"yes",521.884197314759,"new",40,"middle-aged",6.50406504065041,"medium"
"118",118,8675309118,2014-08-03,1990-02-24,"Female",33,247.579757553178,198.660042106725,299.595976329724,232.912804161089,"no",978.748580150716,"old",25,"younger",1.92233009708738,"low"
"119",119,8675309119,2014-06-30,1985-02-26,"Female",53,318.311983620641,190.831683347605,219.09938182072,338.697442186539,"no",1066.9404909755,"old",30,"younger",2.89617486338798,"low"
"120",120,8675309120,2014-08-13,1987-06-08,"Female",16,261.335209410153,135.501482239637,306.710720143667,248.375810049946,"no",951.923221843403,"old",28,"younger",0.950495049504951,"low"
"121",121,8675309121,2015-02-18,1970-12-23,"Female",87,6.92252645399553,350.9592348351,221.912965040812,13.6108795735759,"no",593.405605903483,"new",45,"elder",8.25949367088608,"high"
"122",122,8675309122,2014-12-23,1973-09-15,"Female",88,17.8654712936261,381.45555795825,164.912877206558,16.654635189252,"no",580.888541647686,"new",42,"elder",7.07774798927614,"medium"
"123",123,8675309123,2014-07-21,1987-09-15,"Female",50,124.442525295854,231.193515293187,369.371701412159,258.685786963,"no",983.6935289642,"old",28,"younger",2.84090909090909,"low"
"124",124,8675309124,2015-04-21,1982-01-20,"Female",20,0.345481710268092,36.5152668912382,394.875227260601,328.220955374284,"no",759.956931236391,"new",33,"middle-aged",2.36220472440945,"low"
"125",125,8675309125,2014-06-30,1987-05-20,"Female",59,223.432469723831,410.265714255016,227.983333915322,214.163195357574,"no",1075.84471325174,"old",28,"younger",3.22404371584699,"low"
"126",126,8675309126,2014-08-20,1987-10-12,"Male",38,154.882758370151,235.872996527461,162.351885912688,402.117545286889,"no",955.225186097189,"old",28,"younger",2.28915662650602,"low"
"127",127,8675309127,2014-08-22,1984-10-29,"Female",42,149.330777480611,350.493203320016,218.213707802819,223.757489688474,"no",941.79517829192,"old",31,"middle-aged",2.54032258064516,"low"
"128",128,8675309128,2014-09-10,1983-10-07,"Male",50,261.339898770024,161.81784747951,333.750580876905,195.815971622446,"no",952.724298748885,"old",32,"middle-aged",3.14465408805031,"low"
"129",129,8675309129,2015-03-15,1974-06-01,"Female",78,25.8209703597787,391.745522683061,176.438595231271,23.4930680713156,"no",617.498156345426,"new",41,"elder",8.04123711340206,"high"
"130",130,8675309130,2014-12-06,1974-01-19,"Male",65,50.053526058195,241.498840181829,312.084362942763,16.4698448634494,"no",620.106574046236,"new",41,"elder",5,"medium"
"131",131,8675309131,2014-08-04,1987-04-18,"Female",57,239.153112445769,309.943312683081,293.293685628903,187.519682241081,"no",1029.90979299883,"old",28,"younger",3.32684824902724,"low"
"132",132,8675309132,2014-08-21,1984-10-24,"Female",38,325.582997934516,200.949658700317,356.091363349525,166.467341704958,"no",1049.09136168932,"old",31,"middle-aged",2.29376257545272,"low"
"133",133,8675309133,2015-02-26,1992-04-23,"Male",59,367.347765996583,415.320056770781,21.142769715194,8.45439768637983,"no",812.264990168938,"new",23,"younger",5.74675324675325,"medium"
"134",134,8675309134,2014-08-08,1988-08-26,"Female",49,166.458325454446,367.437748021551,328.292189515172,162.509806999486,"no",1024.69806999066,"old",27,"younger",2.88235294117647,"low"
"135",135,8675309135,2014-11-15,1991-10-03,"Male",58,282.663852197297,436.136375801756,55.3326618550759,7.84459029502483,"no",781.977480149154,"new",24,"younger",4.23357664233577,"medium"
"136",136,8675309136,2015-05-26,1982-08-16,"Female",21,17.6640831966365,41.7068896442967,447.747100189599,318.193909732497,"no",825.311982763029,"new",33,"middle-aged",2.87671232876712,"low"
"137",137,8675309137,2015-01-16,1980-11-10,"Male",85,4.97978302498512,171.668036442968,379.918150996022,45.3670338479618,"no",601.933004311937,"new",35,"middle-aged",7.30659025787966,"medium"
"138",138,8675309138,2014-09-02,1982-01-27,"Female",32,182.241780150095,242.088308686006,156.649695240084,267.313936570983,"yes",848.293720647168,"old",33,"middle-aged",1.97938144329897,"low"
"139",139,8675309139,2014-06-25,1989-02-04,"Female",35,169.309610694682,330.9017844624,261.549453592179,237.982663233035,"no",999.743511982296,"old",26,"younger",1.89530685920578,"low"
"140",140,8675309140,2015-03-09,1975-12-29,"Female",97,32.1439738536521,197.96183085275,298.70204308321,3.20271492554359,"yes",532.010562715156,"new",40,"middle-aged",9.7979797979798,"high"
"141",141,8675309141,2014-08-12,1984-03-10,"Female",23,234.691783822675,230.047493223829,251.142852689877,281.365370683388,"no",997.247500419769,"old",31,"middle-aged",1.36363636363636,"low"
"142",142,8675309142,2015-01-22,1976-04-05,"Female",74,1.07465850382219,362.703876766555,241.154256998689,8.27644109609485,"no",613.209233365161,"new",39,"middle-aged",6.47230320699708,"medium"
"143",143,8675309143,2015-02-14,1991-08-21,"Male",62,430.297860044001,299.727331665529,32.408207409895,52.744065697572,"no",815.177464816997,"new",24,"younger",5.8125,"medium"
"144",144,8675309144,2014-12-31,1980-04-30,"Female",63,33.9443353157312,298.631049540199,204.143897469996,35.0472390464657,"no",571.766521372392,"new",35,"middle-aged",5.17808219178082,"medium"
"145",145,8675309145,2015-01-07,1971-11-02,"Female",66,0.276729181622565,245.432910797283,334.012961044907,30.8288279882786,"no",610.551429012091,"new",44,"elder",5.53072625698324,"medium"
"146",146,8675309146,2014-08-25,1988-10-24,"Female",27,301.964112589155,143.588766878684,291.542713515044,256.258637355119,"no",993.354230338002,"old",27,"younger",1.64300202839757,"low"
"147",147,8675309147,2014-11-27,1996-01-10,"Female",60,19.137689727097,14.091122235795,291.202586047577,540.286034928997,"yes",864.717432939466,"new",19,"younger",4.51127819548872,"medium"
"148",148,8675309148,2015-02-04,1975-02-16,"Female",57,0.157625875687408,203.734050905465,356.621246699924,1.03724589429082,"no",561.550169375367,"new",40,"middle-aged",5.18181818181818,"medium"
"149",149,8675309149,2014-08-10,1990-01-20,"Female",35,184.291831155301,376.948726070978,90.8956805792775,414.132983658261,"no",1066.26922146382,"old",25,"younger",2.06692913385827,"low"
"150",150,8675309150,2014-12-19,1975-11-15,"Male",110,39.4424887904404,188.153644256766,327.728486707395,23.6192824715354,"yes",578.943902226137,"new",40,"middle-aged",8.75331564986737,"high"
"151",151,8675309151,2015-01-09,1977-11-10,"Female",87,21.8077937784442,194.967743681472,304.397205449731,53.5846226989615,"no",574.757365608609,"new",38,"middle-aged",7.3314606741573,"medium"
